2022-08-29 16:05:44 status unpacked libcom-err2:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:44 install libcrypt1:arm64 <none> 1:4.4.10-10ubuntu4
2022-08-29 16:05:44 status half-installed libcrypt1:arm64 1:4.4.10-10ubuntu4
2022-08-29 16:05:44 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2022-08-29 16:05:44 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.6ubuntu2
2022-08-29 16:05:44 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2022-08-29 16:05:44 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2022-08-29 16:05:44 install libdebconfclient0:arm64 <none> 0.251ubuntu1
2022-08-29 16:05:44 status half-installed libdebconfclient0:arm64 0.251ubuntu1
2022-08-29 16:05:44 status unpacked libdebconfclient0:arm64 0.251ubuntu1
2022-08-29 16:05:44 install libext2fs2:arm64 <none> 1.45.5-2ubuntu1
2022-08-29 16:05:44 status half-installed libext2fs2:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:44 status unpacked libext2fs2:arm64 1.45.5-2ubuntu1
2022-08-29 16:05:44 install libfdisk1:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:44 status half-installed libfdisk1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:44 status unpacked libfdisk1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:44 install libgcc-s1:arm64 <none> 10-20200411-0ubuntu1
2022-08-29 16:05:44 status half-installed libgcc-s1:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:44 status unpacked libgcc-s1:arm64 10-20200411-0ubuntu1
2022-08-29 16:05:44 install libgcrypt20:arm64 <none> 1.8.5-5ubuntu1
2022-08-29 16:05:44 status half-installed libgcrypt20:arm64 1.8.5-5ubuntu1
2022-08-29 16:05:44 status unpacked libgcrypt20:arm64 1.8.5-5ubuntu1
2022-08-29 16:05:44 install libgpg-error0:arm64 <none> 1.37-1
2022-08-29 16:05:44 status half-installed libgpg-error0:arm64 1.37-1
2022-08-29 16:05:44 status unpacked libgpg-error0:arm64 1.37-1
2022-08-29 16:05:44 install liblz4-1:arm64 <none> 1.9.2-2
2022-08-29 16:05:44 status half-installed liblz4-1:arm64 1.9.2-2
2022-08-29 16:05:44 status unpacked liblz4-1:arm64 1.9.2-2
2022-08-29 16:05:44 install liblzma5:arm64 <none> 5.2.4-1
2022-08-29 16:05:44 status half-installed liblzma5:arm64 5.2.4-1
2022-08-29 16:05:44 status unpacked liblzma5:arm64 5.2.4-1
2022-08-29 16:05:44 install libmount1:arm64 <none> 2.34-0.1ubuntu9
2022-08-29 16:05:44 status half-installed libmount1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:44 status unpacked libmount1:arm64 2.34-0.1ubuntu9
2022-08-29 16:05:44 install libncurses6:arm64 <none> 6.2-0ubuntu2
2022-08-29 16:05:44 status half-installed libncurses6:arm64 6.2-0ubuntu2
2022-08-29 16:05:44 status unpacked libncurses6:arm64 6.2-0ubuntu2
2022-08-29 16:05:44 install libncursesw6:arm64 <none> 6.2-0ubuntu2
2022-08-29 16:05:44 status half-installed libncursesw6:arm64 6.2-0ubuntu2
2022-08-29 16:05:44 status unpacked libncursesw6:arm64 6.2-0ubuntu2
2022-08-29 16:05:44 install libpam-modules:arm64 <none> 1.3.1-5ubuntu4
2022-08-29 16:05:44 status half-installed libpam-modules:arm64 1.3.1-5ubuntu4
2022-08-29 16:05:44 status unpacked libpam-modules:arm64 1.3.1-5ubuntu4
2022-08-29 16:05:44 install libpam-modules-bin:arm64 <none> 1.3.1-5ubuntu4
2022-08-29 16:05:44 status half-installed libpam-modules-bin:arm64 1.3.1-5ubuntu4
2022-08-29 16:05:44 status unpacked libpam-modules-bin:arm64 1.3.1-5ubuntu4
2022-08-29 16:05:44 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2022-08-29 16:05:44 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
